,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,sex,capital-gain,capital-loss,hours-per-week,country,salary
0,22,6,2671,4,12,2,0,1,1,25,0,39,38,0
1,33,5,2926,4,12,0,3,0,1,0,0,12,38,0
2,21,3,14086,1,8,1,5,1,1,0,0,39,38,0
3,36,3,15336,3,6,0,5,0,1,0,0,39,38,0
4,11,3,19355,4,12,0,9,5,0,0,0,39,4,0
5,20,3,17700,2,13,0,3,5,0,0,0,39,38,0
6,32,3,8536,3,4,0,7,1,0,0,0,15,22,0
7,35,5,13620,1,8,0,3,0,1,0,0,44,38,1
8,14,3,1318,2,13,2,9,1,0,105,0,49,38,1
9,25,3,8460,4,12,0,3,0,1,79,0,39,38,1
10,20,3,17530,4,9,0,3,0,1,0,0,76,38,1
11,13,6,7077,4,12,0,9,0,1,0,0,39,18,1
12,6,3,5772,4,12,2,0,3,0,0,0,29,38,0
13,15,3,13217,4,11,2,11,1,1,0,0,49,38,0
14,23,3,5722,4,10,0,2,0,1,0,0,39,38,1
15,17,3,15963,3,3,0,13,0,1,0,0,44,25,0
16,8,5,10163,1,8,2,4,3,1,0,0,34,38,0
17,15,3,11257,1,8,2,6,4,1,0,0,39,38,0
18,21,3,314,3,6,0,11,0,1,0,0,49,38,0
19,26,5,17974,2,13,1,3,4,0,0,0,44,38,1
20,23,3,12044,0,15,0,9,0,1,0,0,59,38,1
21,37,3,18302,1,8,1,7,4,0,0,0,19,38,0
22,18,0,2636,3,4,0,4,0,1,0,0,39,38,0
23,26,3,5306,3,6,0,13,0,1,0,54,39,38,0
24,42,3,4613,1,8,1,12,4,0,0,0,39,38,0
25,39,1,14178,4,12,0,12,0,1,0,0,39,38,1
26,2,3,9263,1,8,2,2,3,1,0,0,39,38,0
27,37,8,10524,4,9,0,9,0,1,0,0,59,34,1
28,22,3,20071,1,8,1,3,1,1,0,0,76,38,0
29,32,3,12029,1,8,0,2,0,1,0,0,39,38,0
30,6,1,11717,4,11,2,10,1,1,0,0,51,38,0
31,3,3,16899,4,9,2,11,3,1,0,0,43,38,0
32,28,3,20416,4,12,1,3,3,1,0,15,39,38,0
